title,vote_average
Inception,8.1
The Dark Knight,8.2
Avatar,7.2
The Avengers,7.4
Deadpool,7.4
Interstellar,8.1
Django Unchained,7.8
Guardians of the Galaxy,7.9
The Hunger Games,6.9
Mad Max: Fury Road,7.2
Fight Club,8.3
The Dark Knight Rises,7.6
The Matrix,7.9
Iron Man 3,6.8
Iron Man,7.4
The Lord of the Rings: The Fellowship of the Ring,8.0
Jurassic World,6.5
Pulp Fiction,8.3
The Hobbit: An Unexpected Journey,7.0
The Shawshank Redemption,8.5
The Lord of the Rings: The Return of the King,8.1
Forrest Gump,8.2
Skyfall,6.9
Titanic,7.5
The Lord of the Rings: The Two Towers,8.0
Suicide Squad,5.9
Batman Begins,7.5
The Martian,7.6
Captain America: Civil War,7.1
Captain America: The First Avenger,6.6
Harry Potter and the Philosopher's Stone,7.5
Batman v Superman: Dawn of Justice,5.7
Pirates of the Caribbean: The Curse of the Black Pearl,7.5
Up,7.7
Iron Man 2,6.6
Avengers: Age of Ultron,7.3
Star Wars,8.1
The Amazing Spider-Man,6.5
The Wolf of Wall Street,7.9
Inside Out,8.0
Thor,6.6
The Hunger Games: Catching Fire,7.4
Despicable Me,7.1
Inglourious Basterds,7.9
The Revenant,7.3
Man of Steel,6.5
Shutter Island,7.8
WALL·E,7.8
The Hangover,7.2
Big Hero 6,7.8
Finding Nemo,7.6
Back to the Future,8.0
X-Men: Days of Future Past,7.5
"Monsters, Inc.",7.5
The Godfather,8.4
Ant-Man,7.0
The Empire Strikes Back,8.2
Lucy,6.3
Harry Potter and the Prisoner of Azkaban,7.7
Gone Girl,7.9
Harry Potter and the Chamber of Secrets,7.4
Life of Pi,7.2
Sherlock Holmes,7.0
Se7en,8.1
Captain America: The Winter Soldier,7.6
Gravity,7.3
The Imitation Game,8.0
Harry Potter and the Goblet of Fire,7.5
The Hunger Games: Mockingjay - Part 1,6.6
World War Z,6.7
Harry Potter and the Order of the Phoenix,7.4
Now You See Me,7.3
Gladiator,7.9
The Lion King,8.0
The Maze Runner,7.0
Frozen,7.3
Harry Potter and the Half-Blood Prince,7.4
Toy Story,7.7
Spider-Man,6.8
Pirates of the Caribbean: Dead Man's Chest,7.0
X-Men: First Class,7.1
The Incredibles,7.4
Prometheus,6.3
Saving Private Ryan,7.9
300,7.0
Kill Bill: Vol. 1,7.7
Pirates of the Caribbean: On Stranger Tides,6.4
2012,5.6
Edge of Tomorrow,7.6
Jurassic Park,7.6
I Am Legend,6.9
Oblivion,6.4
Pacific Rim,6.7
The Hobbit: The Battle of the Five Armies,7.1
Thor: The Dark World,6.8
Silver Linings Playbook,6.9
Ex Machina,7.6
X-Men: Apocalypse,6.4
Ted,6.3
Looper,6.6
Return of the Jedi,7.9
Divergent,6.9
Alice in Wonderland,6.4
Kick-Ass,7.1
Brave,6.7
Despicable Me 2,7.0
Toy Story 3,7.6
Minions,6.4
Wreck-It Ralph,7.1
The Truman Show,7.8
Birdman,7.4
The Hobbit: The Desolation of Smaug,7.6
The Grand Budapest Hotel,8.0
Star Trek,7.4
Pirates of the Caribbean: At World's End,6.9
Maleficent,7.0
Alien,7.9
American Sniper,7.4
Spectre,6.3
The Silence of the Lambs,8.1
V for Vendetta,7.7
Star Wars: Episode I - The Phantom Menace,6.3
Black Swan,7.3
Star Trek Into Darkness,7.4
Men in Black,6.9
Dawn of the Planet of the Apes,7.3
The Prestige,8.0
Ratatouille,7.5
Taken,7.2
Rise of the Planet of the Apes,7.0
The Departed,7.9
Schindler's List,8.3
Spider-Man 2,6.7
The Hateful Eight,7.6
Whiplash,8.3
How to Train Your Dragon,7.5
Terminator 2: Judgment Day,7.7
The Amazing Spider-Man 2,6.5
Furious 7,7.3
Men in Black 3,6.2
The Terminator,7.3
Star Wars: Episode III - Revenge of the Sith,7.1
X-Men,6.8
Her,7.9
21 Jump Street,6.7
Shrek,7.3
The Wolverine,6.3
The Green Mile,8.2
Transformers,6.6
Memento,8.1
X-Men Origins: Wolverine,6.2
Star Wars: Episode II - Attack of the Clones,6.4
The Hunger Games: Mockingjay - Part 2,6.6
Mission: Impossible - Ghost Protocol,6.8
Kill Bill: Vol. 2,7.6
Die Hard,7.5
Fury,7.4
Sherlock Holmes: A Game of Shadows,7.0
The Fifth Element,7.3
Cars,6.6
Ice Age,7.1
Casino Royale,7.3
Raiders of the Lost Ark,7.7
Spirited Away,8.3
Insurgent,6.2
Back to the Future Part II,7.4
Toy Story 2,7.3
Catch Me If You Can,7.7
"I, Robot",6.7
Ocean's Eleven,7.2
The Great Gatsby,7.3
The Fault in Our Stars,7.6
The Shining,8.1
The Hangover Part II,6.2
Drive,7.4
Reservoir Dogs,8.0
12 Years a Slave,7.9
Eternal Sunshine of the Spotless Mind,7.9
Terminator Genisys,5.8
Charlie and the Chocolate Factory,6.7
Edward Scissorhands,7.5
The Bourne Identity,7.3
Spider-Man 3,5.9
Twilight,5.8
Zombieland,7.2
Oz: The Great and Powerful,5.7
Monsters University,7.0
X-Men: The Last Stand,6.3
Blade Runner,7.9
X2,6.8
A Good Day to Die Hard,5.2
The Secret Life of Pets,5.9
Donnie Darko,7.7
The Matrix Reloaded,6.7
Elysium,6.4
The Fast and the Furious,6.6
Argo,7.1
In Time,6.7
Aladdin,7.4
Nightcrawler,7.6
